"Weight","TailLength","Heart","LKidney","RKidney","Spleen","Liver","FatPad"
39.33,99.64,0.22,0.43,0.42,0.11,2.15,NA
33.65,88.69,0.22,NA,0.41,0.16,2.17,0.58
24.35,88.9,0.13,0.21,0.22,0.08,1.72,NA
31.67,96.44,0.22,NA,0.38,0.13,1.79,0.31
25.36,83.31,0.15,0.2,0.2,0.11,1.63,NA
23.06,87.28,0.12,0.19,0.18,0.1,1.59,NA
24.14,85.16,0.12,0.21,0.19,0.09,1.31,NA
22.58,84.26,0.13,NA,0.22,0.07,1.35,0.36
21.02,83.94,NA,0.18,0.16,0.09,1.26,0.41
23.73,79.3,NA,0.19,0.2,0.12,1.52,0.52
29.05,93.02,0.18,NA,0.3,0.1,1.62,0.79
20.31,NA,0.12,0.19,0.17,0.09,1.21,0.22
23.43,85.94,0.13,NA,0.27,0.05,NA,0.45
NA,90.03,0.12,NA,0.22,0.1,1.63,NA
27.27,85.08,0.13,0.26,0.23,0.1,1.51,0.54
NA,85.04,0.11,0.19,0.21,0.08,1.27,0.23
27.77,83.1,NA,0.22,0.27,0.1,1.6,0.7
23.11,87.53,0.12,NA,0.18,0.09,1.35,0.44
30.32,87.29,0.19,NA,0.32,0.06,1.65,0.41
24.06,82.65,0.13,0.23,0.22,0.09,1.29,0.31
33.53,82.45,0.14,NA,0.4,0.1,1.79,NA
33.71,81.14,0.18,0.38,0.39,0.1,1.9,NA
28.45,82.7,0.15,NA,NA,0.06,1.48,0.56
32.22,89.03,0.17,0.38,0.38,0.08,1.83,NA
31.26,80.66,0.18,0.35,0.38,0.07,1.58,0.64
29.43,89.59,0.12,NA,0.24,0.09,1.6,0.8
30.57,100.11,0.1,NA,NA,0.07,1.62,1.27
30.55,93.84,0.15,0.19,0.22,0.11,1.72,1.42
27.83,83.93,0.15,NA,NA,0.08,1.97,1.05
NA,88.68,0.14,0.21,NA,0.09,1.67,0.87
36.18,89.43,0.11,NA,0.2,0.04,2.16,1.52
35.67,94.85,0.16,NA,0.36,0.09,1.96,0.99
33.71,90.39,0.19,0.35,0.36,0.1,2.02,0.95
31.83,85.46,0.18,0.32,NA,NA,2.07,0.51
37.71,91.26,0.2,0.34,NA,0.15,2.24,1.42
30.65,86.55,0.16,0.21,0.21,0.13,1.92,1.25
25.02,NA,0.11,0.16,0.17,0.13,1.39,0.58
20.96,86.16,0.15,NA,NA,0.1,1.52,NA
34.02,91.27,0.2,0.4,0.4,0.14,2.09,1.01
NA,93.93,0.24,NA,0.36,NA,2.29,1.18
NA,85.62,0.16,0.19,0.22,0.1,1.59,0.67
30.49,84.26,0.16,NA,0.2,0.11,1.9,1.31
37.46,89.48,0.17,0.3,0.29,0.12,2.13,1.64
32.19,83.87,0.17,NA,0.22,0.15,NA,1.16
29.93,86.41,0.14,0.21,NA,0.14,1.72,0.9
30.58,82.82,0.18,0.34,0.35,0.07,NA,0.73
NA,NA,0.16,0.24,0.27,0.07,1.72,0.51
31.56,87.95,0.2,NA,0.28,0.14,2.23,NA
NA,85.61,0.15,0.18,0.18,0.1,1.61,NA
29.81,91.84,0.19,NA,0.29,0.1,1.69,0.57
26.02,85.61,0.18,0.2,0.2,0.11,1.69,0.75
32.37,94.32,0.18,0.33,NA,0.11,1.9,NA
30.3,88.75,0.14,0.22,0.22,0.1,1.76,1.45
32.14,87.27,0.17,0.33,0.35,0.14,2,0.4
29.82,87.35,0.12,0.29,0.29,0.09,1.84,0.61
28.96,84.97,0.18,NA,0.19,0.13,1.85,0.96
37.07,78.4,0.18,0.35,NA,0.14,2.43,0.86
34.72,85.51,0.23,0.31,0.32,0.07,2.35,1
33.92,88.16,0.18,0.34,0.38,0.16,2.08,NA
34.02,91.37,0.2,0.35,NA,0.14,1.9,NA
30.87,85.18,0.18,NA,0.27,0.1,1.79,0.72
29.44,86.69,0.16,NA,0.32,0.1,1.75,0.54
31.09,87.82,0.16,0.21,0.22,0.24,2.12,NA
26.9,84.05,0.17,0.22,0.21,0.16,1.74,0.51
35.71,86.66,0.12,NA,0.32,0.14,2.3,1.37
27.56,82.96,0.13,NA,0.22,0.08,1.32,1.27
27.3,84.92,0.1,NA,0.2,0.09,1.27,1.21
29.66,83.04,0.11,NA,0.26,0.11,1.1,1.16
40.51,91.14,0.2,0.36,0.4,0.13,2.13,1.75
32.32,85.83,0.14,NA,0.27,0.1,1.46,1.16
31.25,87.46,0.12,0.22,0.23,0.1,1.59,1.03
33.88,90.39,0.13,NA,0.21,0.1,1.7,NA
40.92,90.91,0.2,NA,0.38,0.12,2.35,0.98
26.74,86.87,0.1,NA,NA,0.08,1.5,NA
28.68,85.15,0.15,0.36,0.37,0.11,NA,0.7
23.55,85.59,0.1,NA,0.14,0.09,1.29,1.03
25.25,83.96,0.14,0.21,0.22,0.11,1.7,0.32
32.6,NA,0.16,0.31,0.29,0.1,1.91,0.96
30.15,84.9,0.13,0.29,0.33,0.1,1.77,NA
18.69,75.87,0.12,0.16,0.14,0.12,1.13,NA
17.11,73.61,0.09,NA,0.14,0.12,1.05,0.17
19.93,80.76,0.09,NA,NA,0.06,1.25,0.28
31.21,91.41,0.16,0.34,0.37,0.09,1.9,0.73
26.4,88.66,0.14,NA,0.24,0.08,1.3,0.6
31.66,89.89,0.17,0.35,0.36,0.1,1.82,0.77
27.41,86.59,0.14,NA,0.29,0.07,1.56,NA
23.7,86.32,0.12,NA,0.17,0.1,1.52,NA
27.46,90.65,0.16,0.19,0.19,0.12,1.48,1.09
34.83,97.78,0.21,NA,0.37,0.13,1.92,0.6
29.36,91.52,0.15,NA,0.26,0.11,1.63,1.03
27.39,93.65,0.14,NA,0.18,0.12,1.69,NA
NA,95.06,0.21,0.24,0.24,0.13,NA,1.35
26.62,86.15,0.16,0.18,0.17,0.09,1.36,NA
35.68,98.97,0.18,0.31,NA,0.11,2.17,1.03
26.4,88.19,0.18,0.24,0.26,0.17,1.71,NA
NA,87.52,0.21,0.34,0.36,0.16,2.02,NA
39.84,NA,0.19,NA,0.42,0.13,2.51,0.77
37.59,88.88,0.19,NA,0.39,0.1,2.15,1.32
38.67,88.97,0.25,NA,0.4,0.13,2.24,1.46
39.59,90.4,0.2,0.43,0.48,0.1,2.25,1.78
40.97,94.31,0.18,0.38,0.44,0.11,2.46,1.51
35.72,91.42,0.18,NA,0.48,0.13,2.09,0.63
NA,91.64,0.16,NA,0.28,0.12,1.71,1.16
36.71,87.92,0.15,NA,0.27,0.11,1.89,1.18
46.45,96.75,0.23,NA,0.4,0.14,NA,2.23
NA,92.65,0.15,NA,0.29,NA,2.11,1.02
37.41,95.12,0.18,0.4,0.4,0.1,1.81,0.83
31.84,89.19,0.15,0.26,0.23,0.08,2.02,1.42
34.56,95.6,0.17,0.35,0.38,0.09,1.85,0.64
34.48,100.21,0.16,0.29,0.3,0.08,1.9,0.8
31.72,96.8,0.18,NA,0.32,0.08,1.7,0.66
39.87,101.33,0.25,0.39,0.41,0.1,2.25,0.89
NA,96.79,0.15,0.32,0.31,0.08,1.68,0.4
21.59,75.49,0.13,NA,0.18,0.05,1.27,0.15
23.03,86.25,0.13,NA,0.18,0.08,1.24,0.37
28.14,102.1,0.16,0.28,0.31,0.07,1.28,0.26
45.94,95.84,0.15,0.33,0.34,0.09,2.4,NA
41.04,94.02,0.16,0.37,0.38,0.1,2.1,1.2
21.7,96.11,0.12,NA,0.21,0.07,1.54,0.31
25.16,94.69,0.14,0.19,0.2,0.11,1.6,0.58
25.72,91.52,0.14,0.21,0.21,0.12,1.42,0.45
22.28,91.5,0.13,0.15,0.16,0.09,1.31,NA
NA,92.33,0.11,0.17,0.16,0.07,1.34,0.19
34.98,87.48,0.17,0.35,0.37,0.11,2.14,NA
30.76,98.17,0.16,0.26,0.23,0.12,1.86,0.88
NA,92.49,0.13,NA,0.23,0.12,1.7,0.22
33.46,100.92,0.1,NA,0.39,0.09,1.92,0.39
23.77,88.48,0.16,0.2,0.18,0.11,1.41,0.21
36.01,92.67,0.19,0.38,0.38,0.12,2.26,0.38
